2048020,90224 697579 437012 51395 39796
1949710,1841180 1836941 878207 1499792 18998
2015241,187312 360833 236743 243911 223396
2015234,286436 131750 373681 153847 521458
2015232,1383557 770155 1249890 959311 573482
2031616,345591 1450834 1531186 874715 851306
1916985,40785 808622 68247 243624 1581988
1949755,8929 540080 691712 489789 318270
1916981,160226 6977 236705 167425 898281
1916982,1426293 310932 1024397 217824 1426305
1966127,179826 621192 523190 154449 724367
2048046,137091 369764 238081 70370 55700
1949742,794636 752475 1308978 868025 303713
1949732,312613 576394 419380 126037 416126
2031653,880780 590808 129987 337494 805593
1949788,429190 1312 514356 1103556 1386224
1949791,428036 830408 1069669 942344 1730396
1966172,40641 27556 28020 6487 15847
2015325,470871 47986 536461 545454 978280
1949785,1169857 1002510 1788666 193088 1346694
2048091,1829851 945294 1558595 380307 428670
2015323,814892 1030575 1412517 1916364 1390038
2031706,86114 61637 821 318978 690812
1949787,73441 1011582 80995 1862539 1286516
2031705,801644 801645 36196 843768 512658
2048089,1413877 513911 1190019 305717 1444229
2031704,509351 801644 525672 238529 343745
2015314,506903 1514453 168422 251942 251972
2031697,13488 16657 21217 4834 24035
2048080,1202738 823452 840734 1137109 1133238
1949773,68721 9456 191603 482213 1051411
2048077,1021615 1266145 1008476 1008698 1062039
1949774,1133200 989102 1201552 809951 1165607
2031692,710138 737563 320454 70370 1413089
2048075,82401 27889 78390 118694 16473
2048065,807772 314933 152934 452563 724579
2031680,846572 1213376 1863230 1850655 889000
2015356,80192 95986 289367 70370 54852
2015357,1551527 1883405 1121124 797066 233701
2015355,1063553 1002142 998845 572314 1023420
2031737,571896 227153 220752 389472 592143
1949812,464822 280437 577291 819448 152934
1949808,1310928 958107 954840 1024633 190581
2048112,784811 747339 623704 962186 875832
1949804,792060 1187744 268295 292594 1745874
2048107,1832810 980236 1445410 1769774 414174
2064488,86721 1930332 24739 677593 39379
1949797,249250 25444 46197 245125 98182
1966180,603240 599339 51442 4661 15222
2048101,903133 1848798 1809775 1810719 1328813
1966179,864873 844729 1015098 1468416 864874
1966176,1703961 1068533 833402 763581 514049
2048097,1856991 1175957 281393 91028 204933
1949794,544392 142963 286432 286433 544237
2064542,259747 849820 724923 875804 843885
2064540,108800 399765 1502005 1675309 1832813
2015383,40080 149654 107364 96279 133908
2048150,739547 573548 873899 1948650 75273
1949846,317876 343172 1379329 51672 408638
1949836,1228578 894061 1045998 788045 198464
2048142,512167 1778971 1193729 1066149 1813005
2048139,319845 255554 232066 664552 681320
2048138,240050 91075 151143 344224 146773
1949829,344549 1196944 1387591 306631 1183444
1949828,299029 1825384 908473 985321 154773
2015367,462407 1447696 380114 613841 1030374
2048134,1186003 1855581 1854543 1188922 1359965
1949831,630043 44067 272995 706481 156425
1949824,302244 1050448 369236 1170066 1845583
1966211,66193 1851532 1757753 1756575 317313
2015422,369236 1316832 168999 478831 748049
2064571,855613 1107732 1302358 754707 1639361
1949882,16608 12309 141959 132901 50153
2015417,791516 1029422 1190128 879407 1163717
1949877,325718 307206 860456 1046537 303075
2048182,44067 69717 813577 1480400 1008232
2064564,81457 109521 79312 320805 114002
1949875,444326 145459 196929 217312 105972
2064556,855964 990381 867022 340176 1430077
2064553,339204 281493 309430 579679 403713
2064549,891742 1774191 1762668 1851908 1757875
1966242,554094 590385 551840 881367 836006
1966243,851868 419719 1772138 339223 639405
2064545,949357 70370 503603 516255 414174
2064607,5216 670282 734888 121622 426337
2048222,64528 22836 692255 43510 48154
2064606,1611576 768730 1457172 729020 1383916
1966300,661051 347878 451221 312727 344
2048221,577224 763705 1091267 1747262 963243
1966301,289332 2432 1274003 60256 321639
1966296,1195650 1669688 1491603 512288 1033591
2031832,1850604 913151 999371 1832556 865732
2048213,193699 517923 941928 227611 518526
1966293,961134 420084 1417922 466240 182686
2031828,329349 239698 369236 1066089 437404
2048210,780059 265573 269013 1194579 857951
2048208,937818 169974 229813 662 1385389
2015438,632408 1136451 627242 530299 559036
1966287,417526 244243 369236 388532 360724
2015436,188963 315154 44230 1119654 912085
2015437,1620697 1166213 1277542 403600 1166297
2015435,624169 690506 715624 507842 217781
2031818,1935913 986171 143606 1595197 1235236
2031817,942591 679307 1291589 942070 1272280
1949893,854908 350148 476708 196896 742424
2048199,1409349 332133 801 893151 443397
2064581,329349 1756923 1809914 1134853 1832958
1966274,1250593 114994 1091795 209623 501362
2048195,714026 1050256 771035 2065467 983242
1949891,318468 335365 308576 246773 320338
2015424,1644088 527897 219847 317313 12181
2064577,401156 401157 349953 524944 259642
2048192,882925 1230768 425461 826441 720160
2064576,1774139 1433732 1851726 1193376 1851727
2031871,1137075 116390 1758307 1236632 1717456
2031870,47586 28547 855881 700575 1862523
2048249,544972 659247 392992 730195 978647
1949940,1141875 1191985 1353232 196886 1537902
2031862,369236 816296 1819183 1023515 1123204
2048236,4848 71104 197761 546171 593722
1949929,442437 67250 139958 192741 82264
2031849,1083249 737720 739231 1345587 1026968
2048233,430246 869020 383492 657880 1698015
1966313,81957 100340 492705 477087 693010
1949927,60576 176708 422753 566335 203684
2048227,92145 438276 1862409 400896 947320
1966305,282516 321653 79379 176535 115562
2064669,1861534 1829977 1821000 1772381 882058
2064665,280608 317712 780238 720780 749107
1949974,6641 421335 1544645 451284 1297591
1949964,917871 618123 221312 125556 762380
2064654,41729 404132 418469 1763294 391937
2031881,627449 174064 698440 291095 132358
2048265,114370 1860104 254725 389267 633166
1949962,234979 363652 709753 288961 503918
2048263,1243569 114370 236103 147861 269997
1966340,369236 768873 225873 256848 270401
2031875,369236 783354 392343 114994 383830
1949952,1527879 1542470 1309681 1168404 948761
1966339,1772138 1009966 1399633 1046087 332941
2064703,1610505 784474 1295429 1851770 1863542
